This job can be monitored from: https://job.c3se.chalmers.se/alvis/6337436
============================================================
CFG Fine-tuning — started 2026-04-05 18:36:21
Log: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_cfg/training_cfg.log
Pretrained model: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth
Saving to:        /mimer/NOBACKUP/groups/caim1/dafne/checkpoints_cfg
CFG drop prob: 0.15  |  Fine-tune epochs: 200  |  LR: 5e-05
============================================================
Device: cuda
Train=425, Val=75
Loaded DVF stats: mean=-3.174312, std=10.820530
Loaded pretrained weights from: /mimer/NOBACKUP/groups/caim1/dafne/checkpoints/best_model.pth
Starting CFG fine-tuning from scratch...
Epoch 103/200 | λ=1.00e-04 | LR=2.43e-05 | Train [Total=0.01094 MSE=0.01071 Smooth=0.00023] | Val   [Total=0.00659 MSE=0.00564 Smooth=0.00095]
Epoch 104/200 | λ=1.00e-04 | LR=2.40e-05 | Train [Total=0.00716 MSE=0.00691 Smooth=0.00025] | Val   [Total=0.00624 MSE=0.00529 Smooth=0.00095]
Epoch 105/200 | λ=1.00e-04 | LR=2.36e-05 | Train [Total=0.01359 MSE=0.01333 Smooth=0.00026] | Val   [Total=0.00776 MSE=0.00678 Smooth=0.00098]
Epoch 106/200 | λ=1.00e-04 | LR=2.32e-05 | Train [Total=0.01573 MSE=0.01546 Smooth=0.00027] | Val   [Total=0.00673 MSE=0.00578 Smooth=0.00095]
Epoch 107/200 | λ=1.00e-04 | LR=2.28e-05 | Train [Total=0.01115 MSE=0.01080 Smooth=0.00035] | Val   [Total=0.00654 MSE=0.00557 Smooth=0.00096]
Epoch 108/200 | λ=1.00e-04 | LR=2.24e-05 | Train [Total=0.01744 MSE=0.01717 Smooth=0.00027] | Val   [Total=0.00672 MSE=0.00577 Smooth=0.00094]
Epoch 109/200 | λ=1.00e-04 | LR=2.20e-05 | Train [Total=0.01057 MSE=0.01025 Smooth=0.00032] | Val   [Total=0.00651 MSE=0.00556 Smooth=0.00095]
Epoch 110/200 | λ=1.00e-04 | LR=2.17e-05 | Train [Total=0.01439 MSE=0.01421 Smooth=0.00018] | Val   [Total=0.00709 MSE=0.00610 Smooth=0.00098]
Epoch 111/200 | λ=1.00e-04 | LR=2.13e-05 | Train [Total=0.01340 MSE=0.01311 Smooth=0.00030] | Val   [Total=0.00671 MSE=0.00575 Smooth=0.00097]
Epoch 112/200 | λ=1.00e-04 | LR=2.09e-05 | Train [Total=0.01045 MSE=0.01016 Smooth=0.00029] | Val   [Total=0.00736 MSE=0.00639 Smooth=0.00097]
Epoch 113/200 | λ=1.00e-04 | LR=2.05e-05 | Train [Total=0.01028 MSE=0.01001 Smooth=0.00027] | Val   [Total=0.00677 MSE=0.00582 Smooth=0.00095]
Epoch 114/200 | λ=1.00e-04 | LR=2.02e-05 | Train [Total=0.01818 MSE=0.01795 Smooth=0.00023] | Val   [Total=0.00722 MSE=0.00626 Smooth=0.00096]
Epoch 115/200 | λ=1.00e-04 | LR=1.98e-05 | Train [Total=0.00715 MSE=0.00693 Smooth=0.00021] | Val   [Total=0.00704 MSE=0.00609 Smooth=0.00096]
Epoch 116/200 | λ=1.00e-04 | LR=1.94e-05 | Train [Total=0.00678 MSE=0.00657 Smooth=0.00022] | Val   [Total=0.00662 MSE=0.00567 Smooth=0.00095]
Epoch 117/200 | λ=1.00e-04 | LR=1.90e-05 | Train [Total=0.00911 MSE=0.00885 Smooth=0.00026] | Val   [Total=0.00674 MSE=0.00577 Smooth=0.00097]
Epoch 118/200 | λ=1.00e-04 | LR=1.87e-05 | Train [Total=0.01489 MSE=0.01461 Smooth=0.00028] | Val   [Total=0.00672 MSE=0.00576 Smooth=0.00096]
Epoch 119/200 | λ=1.00e-04 | LR=1.83e-05 | Train [Total=0.01175 MSE=0.01145 Smooth=0.00030] | Val   [Total=0.00643 MSE=0.00548 Smooth=0.00095]
Epoch 120/200 | λ=1.00e-04 | LR=1.79e-05 | Train [Total=0.00815 MSE=0.00796 Smooth=0.00018] | Val   [Total=0.00646 MSE=0.00550 Smooth=0.00096]
Epoch 121/200 | λ=1.00e-04 | LR=1.76e-05 | Train [Total=0.00969 MSE=0.00949 Smooth=0.00020] | Val   [Total=0.00657 MSE=0.00563 Smooth=0.00094]
Epoch 122/200 | λ=1.00e-04 | LR=1.72e-05 | Train [Total=0.01186 MSE=0.01163 Smooth=0.00023] | Val   [Total=0.00663 MSE=0.00569 Smooth=0.00094]
Epoch 123/200 | λ=1.00e-04 | LR=1.68e-05 | Train [Total=0.00783 MSE=0.00759 Smooth=0.00024] | Val   [Total=0.00649 MSE=0.00553 Smooth=0.00096]
Epoch 124/200 | λ=1.00e-04 | LR=1.65e-05 | Train [Total=0.01077 MSE=0.01053 Smooth=0.00023] | Val   [Total=0.00713 MSE=0.00618 Smooth=0.00096]
Epoch 125/200 | λ=1.00e-04 | LR=1.61e-05 | Train [Total=0.01031 MSE=0.01007 Smooth=0.00024] | Val   [Total=0.00700 MSE=0.00604 Smooth=0.00095]
